order,title,link0,link1,link2,link3,link4,link5,link6,link7,link8,link9
1A,Flexbox Introduction,https://github.com/FrontendMasters/grid-flexbox-v2/blob/main/day-1-flexbox/1-flexbox-intro/day1.pdf,https://codepen.io/jen4web/pen/yLbjKWm?editors=1100,https://github.com/FrontendMasters/grid-flexbox-v2/blob/main/day-1-flexbox/1-flexbox-intro/Flexbox%20Properties.txt,https://css-tricks.com/snippets/css/a-guide-to-flexbox/,,,,,,
1B,Flexbox Grid System,https://codepen.io/jen4web/pen/OJmEmKb?editors=1100,https://codepen.io/jen4web/pen/VwbxBja?editors=1100,https://codepen.io/jen4web/pen/WNjyMev?editors=1100,https://codepen.io/jen4web/pen/ZEKRrzL?editors=1100,https://codepen.io/jen4web/pen/BaRVXeE,https://codepen.io/jen4web/pen/gOWjYBb,https://frontendmasters.github.io/bootcamp/layout#box-model-types,https://frontendmasters.com/courses/advanced-css-layouts/,https://css-tricks.com/gaps-gasp/,https://developer.mozilla.org/en-US/docs/Web/CSS/gap
1C,Figure Caption & Figure Caption with Flexbox,https://codepen.io/jen4web/pen/BaRVYRN?editors=1100,https://codepen.io/jen4web/pen/ExmRQvL?editors=1100,,,,,,,,
1D,Flexbox Exercises,https://developer.mozilla.org/en-US/docs/Web/CSS/shape-outside,,,,,,,,,
1E,Flexbox Header and Navbar,,,,,,,,,,
1F,Responsive Images,https://github.com/FrontendMasters/fem-layout-2/blob/main/day-1-flexbox/6-responsive-images/responsive%20images.pdf,https://www.responsivebreakpoints.com,,,,,,,,
1G,Flexbox Wrapup,,,,,,,,,,
2A,Introducing CSS Grid,https://github.com/FrontendMasters/fem-layout-2/blob/main/day-2-grid/08-grid-intro/day2.pdf,https://css-tricks.com/snippets/css/complete-guide-grid/,,,,,,,,
2B,Mondrian Painting Exercise,https://codepen.io/jen4web/pen/mdmagoP?editors=1100,https://codepen.io/jen4web/pen/vYmvMwN?editors=1100,https://codepen.io/jen4web/pen/qBmLGqE,https://codepen.io/jen4web/pen/VwbqObj?editors=1100,,,,,,
2C,Grid System with CSS Grid,https://codepen.io/jen4web/pen/mdmaZVL,https://codepen.io/jen4web/pen/gOWZNwd?editors=1100,https://codepen.io/jen4web/pen/abWPemK?editors=1100,https://codepen.io/jen4web/pen/WNjLVoG?editors=1100,,,,,,
2D,Figure Caption & Figure Caption with CSS Grid,https://codepen.io/jen4web/pen/yLbGmWj?editors=1100,https://codepen.io/jen4web/pen/LYyqPPP?editors=1100,https://codepen.io/jen4web/pen/MWmRVbL?editors=1100,,,,,,,
2E,CSS Grid Exercises,,,,,,,,,,
2F,Magazine Layouts,https://codepen.io/jen4web/pen/MWmxYNQ,https://codepen.io/jen4web/pen/gOWEPmN?editors=1100,,,,,,,,
2G,Card Layouts,https://codepen.io/jen4web/pen/oNWVZjd,https://codepen.io/jen4web/pen/abWMJZV?editors=1100,,,,,,,,
2H,Final Project,https://www.pexels.com/@mccutcheon,,,,,,,,,